"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"gdalUtils","gdalUtils","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.0.3.2",NA,"R (>= 2.14.0)","sp, foreach, R.utils, raster, rgdal",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"gdata","gdata","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.18.0",NA,"R (>= 2.3.0)","gtools, stats, methods, utils",NA,"RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"gdistance","gdistance","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3-1",NA,"R (>= 3.2.0), raster (>= 1.9-19), methods, igraph (>= 0.7.0),
Matrix","sp, stats",NA,"knitr, rmarkdown, testthat (>= 2.1.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"gdtools","gdtools","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.2",NA,NA,"Rcpp (>= 0.12.12), systemfonts (>= 0.1.1)","Rcpp","htmltools, testthat, fontquiver (>= 0.2.0), curl",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"generics","generics","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.0.2",NA,"R (>= 3.1)","methods",NA,"covr, pkgload, testthat, tibble",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"genlasso","genlasso","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4",NA,"MASS, Matrix, igraph",NA,NA,NA,NA,"GPL (>= 2.0)",NA,NA,NA,NA,"yes","3.6.1"
"geogrid","geogrid","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.1",NA,NA,"methods, sp, sf, rgeos, Rcpp","Rcpp, RcppArmadillo","testthat, lintr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"geojson","geojson","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.2",NA,NA,"methods, sp, jsonlite (>= 1.6), protolite (>= 1.8), jqr (>=
1.1.0), magrittr, lazyeval",NA,"geojsonlint (>= 0.2.0), tibble, testthat, knitr, rmarkdown,
sf, stringi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"geojsonio","geojsonio","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.9.2",NA,"R (>= 2.10)","methods, sp, sf (>= 0.6), rgeos, crul, maptools, jsonlite (>=
0.9.21), magrittr, readr (>= 0.2.2), V8, geojson (>= 0.2.0),
jqr",NA,"gistr, testthat, knitr, rmarkdown, leaflet, maps, DBI,
RPostgres","RColorBrewer","MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"geojsonlint","geojsonlint","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.0",NA,"R (>= 2.10)","crul (>= 0.7.0), jsonlite (>= 0.9.19), jsonvalidate (>=
1.0.0), V8",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"geojsonsf","geojsonsf","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3.3",NA,"R (>= 3.3.0)","curl, jsonify (>= 1.1.1), Rcpp","jsonify (>= 1.1.1), rapidjsonr (>= 1.2.0), Rcpp, sfheaders
(>= 0.1.0)","covr, knitr, rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"geometry","geometry","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.5",NA,"R (>= 3.0.0)","magic, Rcpp, lpSolve, linprog","Rcpp, RcppProgress","spelling, testthat, rgl, R.matlab, tripack",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"geonames","geonames","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.999",NA,"R (>= 2.2.0)","rjson",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"geoR","geoR","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.8-1",NA,"R (>= 2.10), stats, methods","MASS, sp, splancs, RandomFields, graphics",NA,"scatterplot3d, lattice, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"geosphere","geosphere","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.5-10",NA,"R (>= 3.0.0)","sp",NA,"methods, raster",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"getopt","getopt","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.20.3",NA,NA,"stats",NA,"covr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"GGally","GGally","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.5.0",NA,"R (>= 3.1), ggplot2 (> 2.2.0)","grDevices, grid, gtable (>= 0.2.0), plyr (>= 1.8.3), progress,
RColorBrewer, reshape (>= 0.8.5), utils, rlang",NA,"broom (>= 0.4.0), chemometrics, geosphere (>= 1.5-1), igraph
(>= 1.0.1), intergraph (>= 2.0-2), maps (>= 3.1.0), mapproj,
network (>= 1.12.0), scagnostics, scales (>= 0.4.0), sna (>=
2.3-2), survival, packagedocs (>= 0.4.0), rmarkdown, roxygen2,
testthat, crosstalk",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","3.6.1"
"ggalt","ggalt","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.0",NA,"R (>= 3.2.0), ggplot2 (>= 2.2.1)","utils, graphics, grDevices, dplyr, RColorBrewer, KernSmooth,
proj4, scales, grid, gtable, ash, maps, MASS, extrafont,
tibble, plotly (>= 3.4.1)",NA,"testthat, gridExtra, knitr, rmarkdown, ggthemes, reshape2",NA,"AGPL + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"gganimate","gganimate","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.5",NA,"ggplot2 (>= 3.0.0)","stringi, tweenr (>= 1.0.1), grid, rlang, glue, progress, plyr,
scales, grDevices, utils",NA,"magick, svglite, knitr, rmarkdown, testthat, base64enc,
htmltools, covr, transformr, av, gifski",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"ggExtra","ggExtra","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.9",NA,"R (>= 3.1.0)","colourpicker (>= 1.0), ggplot2 (>= 2.2.0), grDevices, grid (>=
3.1.3), gtable (>= 0.2.0), miniUI (>= 0.1.1), scales (>=
0.2.0), shiny (>= 0.13.0), shinyjs (>= 0.5.2), utils, R6",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5), testthat,
vdiffr, fontquiver, svglite, withr, devtools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"ggmap","ggmap","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.0.0",NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","RgoogleMaps, png, plyr, rjson, jpeg, digest, scales, dplyr,
bitops, grid, glue, httr, stringr, purrr, magrittr, tibble,
tidyr",NA,"MASS, hexbin, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"ggmcmc","ggmcmc","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4.1",NA,"R (>= 3.5), dplyr (>= 0.5.0), tidyr (>= 0.5.1), ggplot2","GGally (>= 1.1.0)",NA,"coda, rstan (>= 2.10.1), nimble, knitr, rmarkdown, ggthemes,
gridExtra, Cairo, extrafont",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"ggplot2","ggplot2","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.3.0",NA,"R (>= 3.2)","digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.3.0), scales (>= 0.5.0), stats, tibble,
withr (>= 2.0.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, rgeos, rmarkdown, rpart, sf (>= 0.7-3), svglite (>=
1.2.0.9001), testthat (>= 2.1.0), vdiffr (>= 0.3.0)","sp","GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"ggpmisc","ggpmisc","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.3",NA,"R (>= 3.5.0), ggplot2 (>= 3.2.1)","grid, rlang (>= 0.4.0), magrittr (>= 1.5), gridExtra (>= 2.3),
scales (>= 1.0.0), MASS (>= 7.3-51.3), polynom (>= 1.4-0),
splus2R (>= 1.2-2), tibble (>= 2.1.3), plyr (>= 1.8.4), dplyr
(>= 0.8.3), xts (>= 0.11-2), zoo (>= 1.8-6), broom (>= 0.5.2),
lubridate (>= 1.7.4), stringr (>= 1.4.0)",NA,"knitr (>= 1.25), rmarkdown (>= 1.15), nlme (>= 3.1-140),
gginnards(>= 0.0.2), ggrepel (>= 0.8.1), magick (>= 2.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"ggpubr","ggpubr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.5",NA,"R (>= 3.1.0), ggplot2, magrittr","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang",NA,"grDevices, knitr, RColorBrewer, gtable",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"ggrepel","ggrepel","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.8.2",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, scales (>= 0.3.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"ggridges","ggridges","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.2",NA,"R (>= 3.2)","ggplot2 (>= 3.0.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"ggsci","ggsci","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.9",NA,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)",NA,"knitr, rmarkdown, gridExtra, reshape2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"ggsignif","ggsignif","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.6.0",NA,NA,"ggplot2 (>= 2.0.0)",NA,"testthat, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"ggstance","ggstance","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.4",NA,"R (>= 3.1.0)","ggplot2 (>= 3.2.0), plyr, rlang, withr (>= 2.0.0)",NA,"Hmisc, testthat, vdiffr (>= 0.3.0)",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"ggthemes","ggthemes","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","4.2.0",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, rlang, rmarkdown, spelling, testthat, tidyr,
vdiffr, withr",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"ggvis","ggvis","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.5",NA,"R (>= 3.0)","assertthat, jsonlite (>= 0.9.11), shiny (>= 0.11.1), magrittr,
dplyr (>= 0.5.0), lazyeval, htmltools (>= 0.2.4), methods",NA,"MASS, mgcv, lubridate, testthat (>= 0.8.1), knitr (>= 1.6),
rmarkdown",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"gh","gh","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.0",NA,NA,"cli, ini, jsonlite, httr (>= 1.2)",NA,"covr, keyring, pingr, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"gifski","gifski","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.8.6",NA,NA,NA,NA,"ggplot2, gapminder",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"gistr","gistr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.0",NA,NA,"jsonlite (>= 1.4), httr (>= 1.2.0), magrittr, assertthat,
knitr, rmarkdown, dplyr",NA,"git2r, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"git2r","git2r","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.26.1",NA,"R (>= 3.1)","graphics, utils",NA,"getPass",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"glmmLasso","glmmLasso","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.5.1",NA,NA,"minqa, Matrix",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"glmmTMB","glmmTMB","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.1",NA,"R (>= 3.2.0)","methods, TMB (>= 1.7.14), lme4 (>= 1.1-18.9000), Matrix, nlme","TMB, RcppEigen","knitr, rmarkdown, testthat, MASS, lattice, ggplot2 (>=
2.2.1), mlmRev, bbmle (>= 1.0.19), pscl, coda, reshape2, car
(>= 3.0.6), emmeans (>= 1.4), estimability, DHARMa, multcomp,
MuMIn, effects (>= 4.0-1), dotwhisker, broom, broom.mixed,
plyr, png, boot, texreg, xtable, huxtable",NA,"AGPL-3",NA,NA,NA,NA,"yes","3.6.1"
"glmnet","glmnet","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.0-2",NA,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape",NA,"survival, knitr, lars",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"globals","globals","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.12.5",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.6.1"
"glue","glue","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4.0",NA,"R (>= 3.1)","methods",NA,"testthat, covr, magrittr, crayon, knitr, rmarkdown, DBI,
RSQLite, R.utils, forcats, microbenchmark, rprintf, stringr,
ggplot2, dplyr, withr, vctrs (>= 0.2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"gmodels","gmodels","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.18.1",NA,"R (>= 1.9.0)","MASS, gdata",NA,"gplots, gtools, Matrix, nlme, lme4 (>= 0.999999-0)",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"goftest","goftest","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2-2",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"googlePolylines","googlePolylines","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.7.2",NA,"R (>= 3.3.0)","Rcpp (>= 0.12.13)","Rcpp, BH","covr, knitr, rmarkdown, sf, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"gower","gower","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.1",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"GPfit","GPfit","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-8",NA,NA,"lhs (>= 0.5), lattice (>= 0.18-8)",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"gplots","gplots","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.0.3",NA,"R (>= 3.0)","gtools, gdata, stats, caTools, KernSmooth",NA,"grid, MASS, knitr",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"gridBase","gridBase","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4-7",NA,"R (>= 2.3.0)","graphics, grid",NA,"lattice",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"gridExtra","gridExtra","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"gridSVG","gridSVG","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.7-1",NA,NA,"grDevices, graphics, utils, methods, grid, jsonlite, XML",NA,"lattice",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"grpreg","grpreg","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.2.2",NA,"R (>= 3.1.0)","Matrix",NA,"grpregOverlap, knitr, survival",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"gss","gss","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.1-12",NA,"R (>= 3.0.0), stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"gstat","gstat","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.0-5",NA,"R (>= 2.10)","utils, stats, graphics, methods, lattice, sp (>= 0.9-72), zoo,
spacetime (>= 1.0-0), FNN",NA,"fields, maps, mapdata, maptools, rgdal (>= 0.5.2), rgeos, sf
(>= 0.7-2), stars (>= 0.3-0), xts, raster, future, future.apply",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"yes","3.6.1"
"gsw","gsw","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-5",NA,"R (>= 2.15), testthat",NA,NA,"knitr,",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"gtable","gtable","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.0",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"gtools","gtools","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.8.2",NA,"methods, stats, utils",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"hardhat","hardhat","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.2",NA,NA,"glue, rlang (>= 0.4.1), tibble, vctrs (>= 0.2.3)",NA,"recipes (>= 0.1.8), testthat (>= 2.1.0), covr, knitr,
rmarkdown, usethis, roxygen2, devtools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"haven","haven","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.2.0",NA,"R (>= 3.2)","forcats (>= 0.2.0), hms, Rcpp (>= 0.11.4), readr (>= 0.1.0),
rlang (>= 0.4.0), tibble, tidyselect","Rcpp","covr, fs, knitr, rmarkdown, testthat, pillar (>= 1.4.0), cli,
crayon",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"here","here","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1",NA,NA,"rprojroot (>= 1.2)",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"hexbin","hexbin","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.28.1",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma, knitr",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"highcharter","highcharter","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.7.0",NA,"R (>= 2.10)","htmlwidgets, magrittr, purrr, rlist, assertthat, zoo, dplyr
(>= 0.7.0), tibble (>= 1.1), stringr, broom, xts, quantmod,
tidyr, htmltools, jsonlite, igraph, lubridate, crosstalk, yaml,
rlang(>= 0.1.1), whisker",NA,"knitr, rmarkdown, survival, ggplot2, httr, viridisLite,
shiny, MASS, gapminder",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"highlight","highlight","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.0",NA,"R (>= 3.2)","grDevices, tools",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"highr","highr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.8",NA,"R (>= 3.2.3)",NA,NA,"knitr, testit",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"Hmisc","Hmisc","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","4.4-0",NA,"lattice, survival (>= 3.1-6), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, acepack, foreign,
gtable, grid, gridExtra, data.table, htmlTable (>= 1.11.0),
viridis, htmltools, base64enc",NA,"chron, rms, mice, tables, knitr, ff, ffbase, plotly (>=
4.5.6), rlang",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"hms","hms","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.3",NA,NA,"methods, pkgconfig, rlang, vctrs (>= 0.2.1)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"hrbrthemes","hrbrthemes","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.8.0",NA,"R (>= 3.4.0)","ggplot2 (>= 3.3.0), grDevices, grid, scales, extrafont, knitr,
rmarkdown, htmltools, tools, magrittr, gdtools",NA,"testthat, dplyr, gridExtra, hunspell, stringi, gcookbook,
clipr, vdiffr, svglite",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"htmlTable","htmlTable","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.13.3",NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xtable, ztable, Hmisc, reshape, rmarkdown,
pander, chron, lubridate, tibble, tidyr (>= 0.7.2), dplyr (>=
0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"htmltools","htmltools","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.0",NA,"R (>= 2.14.1)","utils, digest, Rcpp, rlang","Rcpp","markdown, testthat, withr","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"htmlwidgets","htmlwidgets","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.5.1",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,"knitr (>= 1.8)","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"hts","hts","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","6.0.0",NA,"R (>= 3.2.0), forecast (>= 8.12)","SparseM, Matrix, matrixcalc, parallel, utils, methods,
graphics, grDevices, stats","Rcpp (>= 0.11.0), RcppEigen","testthat, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"httpcode","httpcode","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.0",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"httpuv","httpuv","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.5.2",NA,"R (>= 2.15.1)","Rcpp (>= 0.11.0), utils, R6, promises, later (>= 0.8.0)","Rcpp, BH, later","testthat, callr, curl, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"httr","httr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4.1",NA,"R (>= 3.2)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"hunspell","hunspell","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.0",NA,"R (>= 3.0.2)","Rcpp, digest","Rcpp (>= 0.12.12)","spelling, testthat, pdftools, janeaustenr, wordcloud2, knitr,
stopwords, rmarkdown",NA,"GPL-2 | LGPL-2.1 | MPL-1.1",NA,NA,NA,NA,"yes","3.6.1"
"igraph","igraph","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2.5",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils",NA,"ape, digest, graph, igraphdata, rgl, scales, stats4, tcltk,
testthat, withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"infer","infer","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.1",NA,"R (>= 3.1.2)","dplyr (>= 0.7.0), methods, tibble, rlang (>= 0.2.0), ggplot2,
magrittr, glue (>= 1.3.0), grDevices, purrr, lifecycle",NA,"broom, devtools (>= 1.12.0), knitr, rmarkdown, nycflights13,
stringr, testthat, covr, vdiffr",NA,"CC0",NA,NA,NA,NA,"no","3.6.1"
"influenceR","influenceR","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.0",NA,"R (>= 3.2.0)","igraph (>= 1.0.1), Matrix (>= 1.1-4), methods, utils",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"ini","ini","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"inline","inline","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.15",NA,"R (>= 2.4.0)","methods",NA,"Rcpp (>= 0.11.0)",NA,"LGPL",NA,NA,NA,NA,"no","3.6.1"
"insight","insight","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.8.2",NA,"R (>= 3.2)","methods, stats, utils",NA,"AER, afex, aod, BayesFactor, bayestestR, betareg, biglm,
blavaan, blme, brms, censReg, cgam, coxme, cplm, crch,
estimatr, feisr, fixest, gam, gamm4, gamlss, gbm, gee, geepack,
GLMMadaptive, glmmTMB, gmnl, HRQoL, httr, lavaan, lfe, logistf,
MASS, Matrix, MCMCglmm, mlogit, multgee, lme4, mgcv, nnet,
nlme, ordinal, panelr, plm, pscl, quantreg, rms, robustbase,
robustlmm, rstanarm, rstudioapi, speedglm, splines, statmod,
survey, survival, tripack, truncreg, testthat, VGAM, knitr,
rmarkdown, spelling",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"insuranceData","insuranceData","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"intergraph","intergraph","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.0-2",NA,NA,"network (>= 1.4-1-1), igraph (>= 0.6-0), utils",NA,"testthat, roxygen2, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"intervals","intervals","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.15.2",NA,"R (>= 2.9.0)","utils, graphics, methods",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.6.1"
"ipred","ipred","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.9-9",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
